name,date_detected,common_name,pole_position
Z2A,2020-10-10T12:42:45Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:40Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:18Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:59Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:54Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:47Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:43Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:46Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:23Z,Woodland Caribou,F
Z2A,2020-10-10T12:42:42Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:20Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:05Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:47Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:41Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:40Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:32Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:49Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:52Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:55Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:54Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:56Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:04Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:13Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:15Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:36Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:00Z,Woodland Caribou,F
Z2A,2020-10-10T12:45:51Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:11Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:09Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:08Z,Woodland Caribou,F
Z2A,2020-10-10T12:44:05Z,Woodland Caribou,F
Z2A,2020-10-10T12:43:57Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:06Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:01Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:56Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:00Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:52Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:59Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:53Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:49Z,Woodland Caribou,F
Z2A,2020-10-10T07:32:55Z,Woodland Caribou,F
Z2A,2020-10-10T07:32:24Z,Woodland Caribou,F
Z2A,2020-10-10T08:02:59Z,Woodland Caribou,F
Z2A,2020-10-10T08:03:06Z,Woodland Caribou,F
Z2A,2020-10-10T08:03:03Z,Woodland Caribou,F
Z2A,2020-10-10T07:31:41Z,Woodland Caribou,F
Z2A,2020-10-10T08:02:58Z,Woodland Caribou,F
Z2A,2020-10-10T07:32:50Z,Woodland Caribou,F
Z2A,2020-10-10T07:32:52Z,Woodland Caribou,F
Z2A,2020-10-10T07:32:54Z,Woodland Caribou,F
Z2A,2020-10-10T08:07:34Z,Woodland Caribou,F
Z2A,2020-10-10T07:42:04Z,Woodland Caribou,F
