project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,414-NE,2015-07-20T08:25:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,414-NE,2015-02-25T18:00:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,414-NW,2015-02-25T16:53:06Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,414-NW,2015-07-20T07:21:45Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,414-SE,2015-02-25T16:32:57Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,414-SE,2015-07-20T09:07:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,414-SW,2015-02-25T17:06:14Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,414-SW,2015-07-20T07:53:16Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,442-NE,2015-07-21T15:11:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,442-NE,2015-02-23T12:11:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,442-NW,2015-07-21T16:21:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,442-NW,2015-02-23T11:21:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,442-SE,2015-07-21T14:31:09Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,442-SE,2015-02-23T13:05:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,442-SW,2015-07-21T13:27:08Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,442-SW,2015-02-23T10:37:14Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,443-NE,2015-07-20T07:55:01Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,443-NE,2015-02-23T11:13:29Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,443-NW,2015-07-20T08:32:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,443-NW,2015-02-22T16:19:00Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,443-SE,2015-07-20T07:23:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,443-SE,2015-02-23T12:16:30Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,443-SW,2015-02-23T11:17:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,443-SW,2015-07-20T09:51:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,444-NE,2015-07-19T08:00:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,444-NE,2015-04-08T10:10:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,444-NW,2015-02-22T13:48:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,444-NW,2015-07-19T07:06:50Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,444-SE,2015-02-22T14:45:17Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,444-SE,2015-07-19T08:37:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,472-NW,2015-07-21T08:37:34Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,472-SE,2015-02-21T12:03:57Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,472-SE,2015-07-21T07:31:16Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,472-SW,2015-02-21T11:17:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,472-SW,2015-07-21T09:22:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,473-NE,2015-02-21T17:01:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,473-NE,2015-07-18T14:06:54Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,473-NW,2015-07-18T14:39:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,473-NW,2015-02-21T15:52:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,473-SE,2015-02-21T15:37:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,473-SE,2015-07-18T13:29:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,473-SW,2015-07-18T15:31:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,473-SW,2015-02-21T15:03:03Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,474-NE,2015-02-22T10:34:15Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,474-NE,2015-07-19T13:24:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,474-NW,2015-02-21T17:22:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,474-NW,2015-06-27T15:25:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,474-SE,2015-02-22T11:30:50Z,START - First Good Image in FOV
